position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
763,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",c955MAFd2Bk,2020-08-03T16:09:10Z,"2020-08-03 16:09:10","Functional GI: Non-Pharm Treatment, Diaphragmatic Breathing, Behavioral Therapies | UCLA Health","Non-Pharmacologic Treatment of FGID Symptoms, Using Diaphragmatic Breathing to Treat GI Conditions, Behavioral Therapies in FGIDs PANEL: Lin Chang, MD, UCLA, William D. Chey, MD, University of Michigan Lynn Shapiro Connolly, MD, MSCR, UCLA, Christina T. Gentile, PsyD, MA, ABPP, UCLA, Janelle Smith, MS, RDN, CEDRD, UCLA, Suzanne Smith, MSN, NP, CMT-P, UCLA, Kirsten Tillisch, MD, UCLA UCLA-Mellinkoff Gastroenterology and Hepatology Symposium March 6-7, 2020 Learn more about the UCLA Vatche & Taman Manoukian Division of Digestive Disease at www.uclahealth.org/gastro UCLA Digestive Diseases","bowel disease,digestive health,digestive disease,gastroenterology,hepatology,UCLA Health,ucla",28,"Science & Technology","Health,Knowledge",PT1H14M37S,877,2d,hd,false,,en-US,https://i.ytimg.com/vi/c955MAFd2Bk/maxresdefault.jpg,,,,,2497,39,,0,6
764,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",u2Byis9m_kg,2020-08-03T16:07:42Z,"2020-08-03 16:07:42","Functional GI: Dietary Management, ARFI Disorder, Chronic Abdominal Pain | UCLA Digestive Diseases","Dietary Management in IBS, Assessment and Diagnosis of Avoidance Restrictive Food Intake Disorder (ARFID) in GI Disorders, Diagnostic Assessment of Chronic Abdominal Pain, Pharmacologic Treatment of Chronic Abdominal Pain PANEL: Lin Chang, MD, UCLA, William D. Chey, MD, University of Michigan Lynn Shapiro Connolly, MD, MSCR, UCLA, Christina T. Gentile, PsyD, MA, ABPP, UCLA, Janelle Smith, MS, RDN, CEDRD, UCLA, Suzanne Smith, MSN, NP, CMT-P, UCLA, Kirsten Tillisch, MD, UCLA UCLA-Mellinkoff Gastroenterology and Hepatology Symposium March 6-7, 2020 Learn more about the UCLA Vatche & Taman Manoukian Division of Digestive Disease at www.uclahealth.org/gastro","bowel disease,ucla,UCLA Health,gastroenterology,hepatology,digestive health,digestive disease",28,"Science & Technology","Health,Society",PT1H58M55S,3535,2d,hd,false,,en-US,https://i.ytimg.com/vi/u2Byis9m_kg/maxresdefault.jpg,,,,,7673,86,,0,5
765,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",9GobMmprong,2020-08-03T16:04:40Z,"2020-08-03 16:04:40","Pancreaticobiliary Disease: ERCP | UCLA Digestive Diseases","Diagnosis of the Indeterminant Biliary Stricture, Biliary Stenting in Hilar Cholangiocarcinoma, The Role of Biliary RFA in the Management of Hilar Cholangiocarcinoma, Surgical Management of Hilar Cholangiocarcinoma PANEL: Joseph DiNorcia III, MD, MS, UCLA, Rajesh N. Keswani, MD, MS, Northwestern, Stephen Kim, MD, UCLA, V. Raman Muthusamy, MD, MAS, UCLA, Alireza Sedarat, MD, UCLA, Adarsh M. Thaker, MD, UCLA UCLA-Mellinkoff Gastroenterology and Hepatology Symposium March 6-7, 2020 Learn more about the UCLA Vatche & Taman Manoukian Division of Digestive Disease at www.uclahealth.org/gastro","ucla,UCLA Health,pancreatic health,pancreatic disease,gastro,gastoenterology",28,"Science & Technology","Health,Knowledge",PT48M24S,2904,2d,hd,false,,en-US,https://i.ytimg.com/vi/9GobMmprong/maxresdefault.jpg,,,,,8367,122,,0,2
766,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",RW2GloFVFJ0,2020-08-03T16:00:07Z,"2020-08-03 16:00:07","Pancreaticobiliary Disease: The Management of Hilar Cholangiocarcinoma | UCLA Digestive Diseases","Diagnosis of the Indeterminant Biliary Stricture, Biliary Stenting in Hilar Cholangiocarcinoma, The Role of Biliary RFA in the Management of Hilar Cholangiocarcinoma, Surgical Management of Hilar Cholangiocarcinoma PANEL: Joseph DiNorcia III, MD, MS, UCLA, Rajesh N. Keswani, MD, MS, Northwestern, Stephen Kim, MD, UCLA, V. Raman Muthusamy, MD, MAS, UCLA, Alireza Sedarat, MD, UCLA, Adarsh M. Thaker, MD, UCLA UCLA-Mellinkoff Gastroenterology and Hepatology Symposium March 6-7, 2020 Learn more about the UCLA Vatche & Taman Manoukian Division of Digestive Disease at www.uclahealth.org/gastro","ucla,UCLA Health,gastroenterology,hepatology,digestive disease,digestive health,pancreatic disease",28,"Science & Technology","Health,Knowledge",PT1H18M37S,1117,2d,hd,false,,en-US,https://i.ytimg.com/vi/RW2GloFVFJ0/maxresdefault.jpg,,,,,7004,98,,0,4
767,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",RfINuV00wFI,2020-08-03T15:56:16Z,"2020-08-03 15:56:16","Endoscopy Video Forum | UCLA Digestive Diseases","PANEL: Danny Issa, MD, UCLA, Rajesh N. Keswani, MD, MS, Northwestern, William E. Karnes, MD, UC Irvine, Stephen Kim, MD, UCLA, V. Raman Muthusamy, MD, MAS, UCLA, Harold E. Paredes, MD, UCLA, Alireza Sedarat, MD, UCLA, Adarsh M. Thaker, MD, UCLA UCLA-Mellinkoff Gastroenterology and HepatologySymposium March 6-7, 2020 Learn more about the UCLA Vatche & Taman Manoukian Division of Digestive Disease at www.uclahealth.org/gastro","gastroenterology,hepatology,ucla,UCLA Health,endoscopy,digestive health,digestive disease",28,"Science & Technology","Health,Knowledge",PT1H26M22S,1582,2d,hd,false,,en-US,https://i.ytimg.com/vi/RfINuV00wFI/maxresdefault.jpg,,,,,2135,26,,0,0
768,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",biUbuzrGySQ,2020-08-03T15:48:26Z,"2020-08-03 15:48:26","Hot Topics: Panel Discussion | UCLA Digestive Diseases","PANEL: William E. Karnes, MD, UCI, Rajesh N. Keswani, MD, MS, Northwestern, V. Raman Muthusamy, MD, MAS, UCLA UCLA-Mellinkoff Gastroenterology and Hepatology Symposium March 6-7, 2020 Learn more about the UCLA Vatche & Taman Manoukian Division of Digestive Disease at www.uclahealth.org/gastro Physician Burnout Artificial Intelligence in GI","ucla,UCLA Health,gastro,gastroenterology,hepatology,digestive health,digestive disease",28,"Science & Technology","Health,Society",PT21M5S,1265,2d,hd,false,,en-US,https://i.ytimg.com/vi/biUbuzrGySQ/maxresdefault.jpg,,,,,395,4,,0,1
769,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",KcfMNgIn8hU,2020-08-03T15:42:53Z,"2020-08-03 15:42:53","Liver Disorders: Challenging Patient Cases | UCLA Digestive Diseases","UCLA-Mellinkoff Gastroenterology and Hepatology Symposium March 6-7, 2020 Learn more about the UCLA Vatche & Taman Manoukian Division of Digestive Disease at www.uclahealth.org/gastro PANEL: Gina Choi, MD, UCLA, Steven-Huy Han, MD, UCLA, Mohamed El Kabany, MD, UCLA, Sammy Saab, MD, MPH, UCLA, Kara Walter, MD, UCLA, Beshoy T. Yanny, MD, UCLA","gastroententerology,Hepatology,Liver disease,liver disorder,ucla,UCLA Health,digestive disease,digestive health",28,"Science & Technology","Health,Knowledge",PT23M21S,1401,2d,hd,false,,en-US,https://i.ytimg.com/vi/KcfMNgIn8hU/maxresdefault.jpg,,,,,2264,37,,0,1
770,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",od3dhzy0FjM,2020-08-01T00:23:09Z,"2020-08-01 00:23:09","Autoimmune Hepatitis and Primary Biliary Cholangitis | Gina Choi, MD | UCLA Digestive Diseases","Liver Disorders UCLA-Mellinkoff Gastroenterology and Hepatology Symposium March 6-7, 2020 Learn more about the UCLA Vatche & Taman Manoukian Division of Digestive Disease at www.uclahealth.org/gastro","gastro,gastroenteritis,gastroenterology,gut disorders,UCLA Health,liver disorders,esophageal disorder,refractor ascititis,refractory ascitis,gina choi md,digestive disease",28,"Science & Technology","Health,Knowledge",PT18M37S,1117,2d,hd,false,,en-US,https://i.ytimg.com/vi/od3dhzy0FjM/maxresdefault.jpg,,,,,23352,365,,0,24
771,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",bL5sJneLTH0,2020-07-30T06:35:16Z,"2020-07-30 06:35:16","Liver Disorders: Hepatitis B | Steven-Huy Han, MD, UCLA | UCLA Digestive Diseases","UCLA-Mellinkoff Gastroenterology and Hepatology Symposium March 6-7, 2020 Learn more about the UCLA Vatche & Taman Manoukian Division of Digestive Disease at www.uclahealth.org/gastro","steven-huy han md,digestive diseases,ucla,gastro,gastroenterology,liver disorders,hepatitis B,gut disorders",28,"Science & Technology","Health,Knowledge",PT22M33S,1353,2d,hd,false,,en-US,https://i.ytimg.com/vi/bL5sJneLTH0/maxresdefault.jpg,,,,,10909,186,,0,219
772,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",Dc1rflEKHRA,2020-07-30T06:34:06Z,"2020-07-30 06:34:06","Liver Disorders: Hepatitis C | Sammy Saab, MD, MPH, UCLA | UCLA Digestive Diseases","UCLA-Mellinkoff Gastroenterology and Hepatology Symposium March 6-7, 2020 Learn more about the UCLA Vatche & Taman Manoukian Division of Digestive Disease at www.uclahealth.org/gastro","sammy saab md,ucla digestive diseases,liver disorders,hepatitis C,gut disorders,gastro,gastroenterology,ucla health",28,"Science & Technology","Health,Society",PT20M19S,1219,2d,hd,false,,en-US,https://i.ytimg.com/vi/Dc1rflEKHRA/maxresdefault.jpg,,,,,2996,32,,0,19
773,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",yD7EUwcPUhg,2020-07-30T06:32:45Z,"2020-07-30 06:32:45","Esophageal Disorders: Manometry, Belch, Rumination, Dysphagia, EoE | UCLA Digestive Diseases","Esophageal Manometry, Gastric Belch, Supragastric Belch, Rumination Syndrome, Phantom Dysphagia, Eosinophilic Esophagitis (EoE) PANEL: Lisa J. Bolden, MA, CCC-SLP, UCLA, Christina T. Gentile, PsyD, MA, ABPP, UCLA, Kevin Ghassemi, MD, UCLA, Craig Gluckman, MD, UCLA, Nancee Jaffe, MS, RDN, UCLA, Lisa D. Lin, MD, MS, UCLA, Suzanne Smith, MSN, NP, CMT-P, UCLA UCLA-Mellinkoff Gastroenterology and Hepatology Symposium March 6-7, 2020 Learn more about the UCLA Vatche & Taman Manoukian Division of Digestive Disease at www.uclahealth.org/gastro","digestive diseases,gastroenterology,kevin ghassemi md,jeffrey conklin md,craig gluckman md,nancee jaffee rd,.lisa lin md,esophageal disorders",28,"Science & Technology","Health,Knowledge",PT1H56M8S,3368,2d,hd,false,,en-US,https://i.ytimg.com/vi/yD7EUwcPUhg/maxresdefault.jpg,,,,,33237,267,,0,36
774,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",ORmES5Ug3tQ,2020-07-19T06:19:11Z,"2020-07-19 06:19:11","Keep Your Health on Track at UCLA Health","If you recently delayed a medical procedure, imaging study, preventive care screening or follow-up appointment, we are here for you and ready to keep your health on track. https://www.uclahealth.org/here-for-you",,28,"Science & Technology","Health,Knowledge",PT1M4S,64,2d,hd,false,,en-US,https://i.ytimg.com/vi/ORmES5Ug3tQ/maxresdefault.jpg,,,,,1306,26,,0,0
775,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",Xed3kySMHC4,2020-07-03T07:13:05Z,"2020-07-03 07:13:05","UCLA Kidney CORE Presents: Virtual Kidney Health Fair 2020","If you would like to make a gift: giving.ucla.edu/kidney Learn more: www.uclahealth.org/CORE-Kidney/",,28,"Science & Technology","Health,Society",PT2H4M47S,287,2d,hd,false,,en-US,https://i.ytimg.com/vi/Xed3kySMHC4/maxresdefault.jpg,,,,,1406,34,,0,3
776,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",2vnyAIMrH8k,2020-07-02T00:11:00Z,"2020-07-02 00:11:00","8 Our Commitment to You",,,28,"Science & Technology",Health,PT43S,43,2d,hd,false,,en-US,https://i.ytimg.com/vi/2vnyAIMrH8k/maxresdefault.jpg,,,,,493,16,,0,3
777,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",-FvDiGgARjY,2020-06-30T15:32:26Z,"2020-06-30 15:32:26","7 Emergency Reinsertion",,,28,"Science & Technology",Health,PT1M9S,69,2d,hd,false,,en-US,https://i.ytimg.com/vi/-FvDiGgARjY/maxresdefault.jpg,,,,,651,6,,0,0
778,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",6RADJRSGm1k,2020-06-30T15:32:11Z,"2020-06-30 15:32:11","6 Possible Complications",,,28,"Science & Technology","Health,Knowledge",PT1M20S,80,2d,hd,false,,en-US,https://i.ytimg.com/vi/6RADJRSGm1k/maxresdefault.jpg,,,,,261,3,,0,0
779,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",oxkioL1zhfE,2020-06-30T15:31:55Z,"2020-06-30 15:31:55","5 How to Clean Your Inner Cannula",,,28,"Science & Technology","Health,Knowledge",PT2M5S,125,2d,hd,false,,en-US,https://i.ytimg.com/vi/oxkioL1zhfE/maxresdefault.jpg,,,,,30985,86,,0,1
780,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",vXy14vhJdh8,2020-06-30T15:31:07Z,"2020-06-30 15:31:07","4 How to Self Suction",,,28,"Science & Technology","Health,Knowledge",PT3M45S,225,2d,hd,false,,en-US,https://i.ytimg.com/vi/vXy14vhJdh8/maxresdefault.jpg,,,,,17341,32,,0,6
781,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",RLE4a6s9zPk,2020-06-30T15:30:53Z,"2020-06-30 15:30:53","3 Getting to Know Your Inner Cannula",,,28,"Science & Technology","Health,Knowledge",PT1M29S,89,2d,hd,false,,en-US,https://i.ytimg.com/vi/RLE4a6s9zPk/maxresdefault.jpg,,,,,3172,15,,0,1
782,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",7lualqowtZg,2020-06-30T15:30:38Z,"2020-06-30 15:30:38","2 Understanding Your Tracheostomy",,,28,"Science & Technology","Health,Knowledge",PT1M16S,76,2d,hd,false,,en-US,https://i.ytimg.com/vi/7lualqowtZg/maxresdefault.jpg,,,,,2278,10,,0,2
783,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",k9TG02cxL0U,2020-06-30T15:30:09Z,"2020-06-30 15:30:09","1 Introduction",,,28,"Science & Technology","Health,Knowledge",PT55S,55,2d,hd,false,,en-US,https://i.ytimg.com/vi/k9TG02cxL0U/maxresdefault.jpg,,,,,431,11,,0,1
784,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",GzSqMZqnNYU,2020-06-24T16:39:45Z,"2020-06-24 16:39:45","How to Prepare for Your Bravo™ pH Study","Lisa D. Lin, MD, MS UCLA Robert G. Kardashian Center for Esophageal Health This video describes what to expect and how to prepare for your Bravo™ pH study. The Bravo™ pH monitoring system is a catheter-free way to measure the amount of acid your esophagus is exposed to over a period of time. This is done under sedation. For more information, click on the link below: uclahealth.org/gastro/motility","ucla,uclahealth,bravo,ph,phstudy",28,"Science & Technology","Health,Knowledge",PT3M1S,181,2d,hd,false,,en-US,,,,,,9221,33,,0,1
785,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",-C-Inj4vlgU,2020-06-24T16:36:19Z,"2020-06-24 16:36:19","How to Prepare for Your Catheter Based pH Study","Lisa D. Lin, MD, MS UCLA Robert G. Kardashian Center for Esophageal Health This video describes what to expect and how to prepare for your catheter-based pH study. A catheter-based pH study can be used to measure the amount of acid your esophagus is exposed to over 24 hours. This type of study does not require an endoscopy or sedation. For more information, click on the link below: uclahealth.org/gastro/motility","ucla,uclahealth,digestive diseases",28,"Science & Technology","Health,Knowledge",PT3M31S,211,2d,hd,false,,en-US,,,,,,3260,21,,0,
786,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",Edaw2xhn6UA,2020-06-24T16:31:58Z,"2020-06-24 16:31:58","How to Prepare for Your Esophageal Manometry Test | UCLA Health","This video describes what to expect and how to prepare for your esophageal manometry test. Esophageal manometry is a way to evaluate how well the esophagus works. The test does not require endoscopy or sedation. For more information, click on the link below: https://www.uclahealth.org/gastro/motility","ucla,uclahealth,Esophageal Health",28,"Science & Technology","Health,Knowledge",PT3M34S,214,2d,hd,false,,en-US,,,,,,63255,485,,0,
787,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",HGktMfQs-Hg,2020-06-20T05:00:19Z,"2020-06-20 05:00:19","First Prostate Checkup | Jesse Mills, MD - The Men's Clinic at UCLA","#MensHealth Dr. Jesse Mills, Director of The Men’s Clinic at UCLA talks about what to expect during a first prostate checkup. https://www.uclahealth.org/urology/","Urology,men's health,prostate cancer,screening,UCLA",28,"Science & Technology","Health,Knowledge",PT2M58S,178,2d,hd,false,,en-US,,,"Jesse N. Mills, MD",34.0263286,-118.4869928,7272,32,,0,4
788,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",RfYveT08ZwA,2020-06-17T14:00:12Z,"2020-06-17 14:00:12","Your health comes first","Talk to your doctor about getting your care back on track or scheduling a video visit with UCLA Health. That's how we play for #TeamLA. For more information on scheduling a virtual doctors appointment, please visit: https://www.uclahealth.org/video-visits","ucla health doctors appointment,ucla health online doctors appointment,ucla health video visit,doctors appointment,online doctors appointment,doctors appointment video,virtual doctors visit,video doctor appointment,teamla",28,"Science & Technology",Health,PT16S,16,2d,hd,false,,en-US,https://i.ytimg.com/vi/RfYveT08ZwA/maxresdefault.jpg,,,,,1289195,25,,0,
789,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",qySOBlyerBI,2020-06-17T13:58:09Z,"2020-06-17 13:58:09","Get your care back on track at UCLA Health","Your health comes first. Play for #TeamLA and talk to your doctor about resuming your care or scheduling a video visit. For more information on scheduling an online doctors appointment, please visit: https://www.uclahealth.org/video-visits","ucla health doctors appointment,ucla health online doctors appointment,ucla health video visit,doctors appointment,online doctors appointment,doctors appointment video,virtual doctors visit,video doctor appointment,teamla",28,"Science & Technology",Health,PT7S,7,2d,hd,false,,en-US,https://i.ytimg.com/vi/qySOBlyerBI/maxresdefault.jpg,,,,,409,5,,0,
790,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",ojQTz9FlNt4,2020-05-28T23:28:05Z,"2020-05-28 23:28:05","Inclusive Health: Caring for Patients with Intellectual Disabilities","UCLA Health is committed to improving communication between healthcare professionals and adults with intellectual disabilities. Our goal is to ensure participation in medical decisions and access to supported decision-making as an alternative to guardianship/conservatorship. #SpecialOlympics",,28,"Science & Technology","Health,Society",PT14M5S,845,2d,hd,true,,en-US,https://i.ytimg.com/vi/ojQTz9FlNt4/maxresdefault.jpg,,,,,26912,241,,0,31
791,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",qMutF7XPg9E,2020-05-21T14:07:46Z,"2020-05-21 14:07:46","We will come through together as #TeamLA","These times have not been easy. But if we work together, we will celebrate together as #TeamLA.",,28,"Science & Technology",,PT16S,16,2d,hd,false,,en-US,https://i.ytimg.com/vi/qMutF7XPg9E/maxresdefault.jpg,,,,,15913,1,,0,0
792,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",-kpmfEHd7E8,2020-05-21T14:06:20Z,"2020-05-21 14:06:20","Let's work together as #TeamLA","We will come through this challenging time and when we do, we will celebrate as #TeamLA.",,28,"Science & Technology",,PT7S,7,2d,hd,false,,en-US,https://i.ytimg.com/vi/-kpmfEHd7E8/maxresdefault.jpg,,,,,235,2,,0,0
793,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",HFOx64DweUU,2020-05-21T14:04:35Z,"2020-05-21 14:04:35","Connect with #TeamLA","We still have to practice physical distancing, but we don't have to be alone. Keep connecting with friends and family. That's how we play for #TeamLA.",,28,"Science & Technology",,PT16S,16,2d,hd,false,,en-US,https://i.ytimg.com/vi/HFOx64DweUU/maxresdefault.jpg,,,,,524142,0,,0,1
794,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",5JeastWYfb4,2020-05-21T13:56:43Z,"2020-05-21 13:56:43","Keep connecting #TeamLA","We’re getting through this together, but we still need to stay apart. Keep practicing physical distancing and remember to connect with your friends and family. That’s how we play for #TeamLA.",,28,"Science & Technology",,PT7S,7,2d,hd,false,,en-US,https://i.ytimg.com/vi/5JeastWYfb4/maxresdefault.jpg,,,,,284,0,,0,0
795,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",DyyYXr7dEDI,2020-05-21T13:46:56Z,"2020-05-21 13:46:56","Inspired by #TeamLA","Future generations will learn about this time, and they will be inspired by how we worked together as #TeamLA.",,28,"Science & Technology",,PT31S,31,2d,hd,false,,en-US,https://i.ytimg.com/vi/DyyYXr7dEDI/maxresdefault.jpg,,,,,1009,8,,0,0
796,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",obHFo3hVDO4,2020-05-21T13:39:53Z,"2020-05-21 13:39:53","#TeamLA rises to the challenge","Future generations will learn about this time, and they will be inspired by how we worked together as #TeamLA.",,28,"Science & Technology",,PT16S,16,2d,hd,false,,en-US,https://i.ytimg.com/vi/obHFo3hVDO4/maxresdefault.jpg,,,,,36483,4,,0,0
797,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",45Ebw1uz_dg,2020-05-21T13:37:01Z,"2020-05-21 13:37:01","We work together as #TeamLA","We've been through a lot, but the disruptions will end and we will be remembered as the city that worked together. We all play for #TeamLA.",,28,"Science & Technology",,PT7S,7,2d,hd,false,,en-US,https://i.ytimg.com/vi/45Ebw1uz_dg/maxresdefault.jpg,,,,,304,4,,0,0
798,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",f4wgTO1Uzqg,2020-05-15T04:31:47Z,"2020-05-15 04:31:47","Chronic Kidney Disease CKD (Extended) | UCLA Core Kidney Program","Kidney Dialysis - Lifestyle & Health Choices https://www.uclahealth.org/core-kidney/chronic-kidney-disease-ckd",,28,"Science & Technology","Health,Knowledge",PT13M22S,802,2d,hd,false,,en-US,https://i.ytimg.com/vi/f4wgTO1Uzqg/maxresdefault.jpg,,,,,1092,26,,0,1
799,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",KeE4wTdjwio,2020-05-15T04:03:52Z,"2020-05-15 04:03:52","Chronic Kidney Disease CKD | UCLA Core Kidney Program","Kidney Dialysis - Lifestyle & Health Choices https://www.uclahealth.org/core-kidney/",,28,"Science & Technology",Health,PT2M51S,171,2d,hd,false,,en-US,https://i.ytimg.com/vi/KeE4wTdjwio/maxresdefault.jpg,,,,,883,19,,0,2
800,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",k7pFalWxiw0,2020-05-13T01:38:29Z,"2020-05-13 01:38:29","Your COVID-19 Questions Answered Part 2 | UCLA Health","UCLA Health Town Hall - May 12, 2020 How COVID-19 Will Change Health Care Moderator: Judy Fortin, Executive Director of Communications, UCLA Health Panelists: Johnese Spisso, President, UCLA Health, and CEO, UCLA Hospital System Drs. Robert Cherry, Eve Glazier, Gregory Hendey, and Arash Naeim Visit https://www.uclahealth.org/coronavirus for the latest updates.",,28,"Science & Technology","Health,Society",PT56M35S,3395,2d,hd,false,,en-US,https://i.ytimg.com/vi/k7pFalWxiw0/maxresdefault.jpg,,,,,1958,28,,0,1
801,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",GyIL1M0dYHA,2020-05-11T13:51:41Z,"2020-05-11 13:51:41","We’re proud of our #TeamLA essential service workers","To everyone who is keeping the city we love healthy and fed—thank you. You are the heroes of #TeamLA.",,28,"Science & Technology","Health,Society",PT16S,16,2d,hd,false,,en-US,https://i.ytimg.com/vi/GyIL1M0dYHA/maxresdefault.jpg,,,,,406,15,,0,0
802,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",3i10RoowyHI,2020-05-11T13:50:29Z,"2020-05-11 13:50:29","Thank you, essential worker MVPs","#TeamLA is grateful to have the hardworking essential service workers doing their part to keep our city running and healthy. We all play for #TeamLA.",,28,"Science & Technology","Health,Society",PT7S,7,2d,hd,false,,en-US,https://i.ytimg.com/vi/3i10RoowyHI/maxresdefault.jpg,,,,,251,7,,0,0
803,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",KUj4xnrWpEk,2020-05-09T02:14:24Z,"2020-05-09 02:14:24","Your COVID-19 Questions Answered Part 1 | UCLA Health","UCLA Health Town Hall - May 5, 2020 Testing: How it works, why it matters, and how to do it right. Moderator: Judy Fortin, Executive Director of Communications Panelists: Drs. Judith Currier, Kelsey Martin and Omai Garner. Visit https://www.uclahealth.org/coronavirus for the latest updates.",,28,"Science & Technology","Health,Society",PT47M55S,2875,2d,sd,false,,en-US,,,,,,1531,28,,0,7
804,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",DAxnArGkk4U,2020-05-05T22:07:51Z,"2020-05-05 22:07:51","Danny Green | TeamLA - UCLA Health","Learn more about #TeamLA at https://www.uclahealth.org/TeamLA",,28,"Science & Technology",Health,PT22S,22,2d,sd,false,,en-US,,,,,,907,24,,0,0
805,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",7161Pw1AePs,2020-05-04T21:29:06Z,"2020-05-04 21:29:06","LA is better together | #TeamLA","Life may be on pause. Your health isn’t. We’re here to take care of you. http://la.bettertogether.health/ #TeamLA #BetterTogether",,28,"Science & Technology",Health,PT31S,31,2d,hd,false,,en-US,https://i.ytimg.com/vi/7161Pw1AePs/maxresdefault.jpg,,,,,228739,15,,0,0
806,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",PqQqqlKN6q8,2020-04-29T07:31:18Z,"2020-04-29 07:31:18","Hollins | #TeamLA - UCLA Health","Learn more about #TeamLA at https://www.uclahealth.org/TeamLA",,28,"Science & Technology",Health,PT23S,23,2d,sd,false,,en-US,,,,,,542,11,,0,2
807,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",uPBdyHLM9pc,2020-04-29T07:31:12Z,"2020-04-29 07:31:12","KCP | #TeamLA - UCLA Health","Learn more about #TeamLA at https://www.uclahealth.org/TeamLA",,28,"Science & Technology","Health,Sport",PT18S,18,2d,hd,false,,en-US,https://i.ytimg.com/vi/uPBdyHLM9pc/maxresdefault.jpg,,,,,651,18,,0,1
808,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",wW9OWpw6MK0,2020-04-21T13:51:54Z,"2020-04-21 13:51:54","#TeamLA. 10 million strong.","We've been through hard times before, but when we work together, we are unstoppable. Join us and tag your posts #TeamLA.",,28,"Science & Technology",,PT31S,31,2d,hd,false,,en-US,https://i.ytimg.com/vi/wW9OWpw6MK0/maxresdefault.jpg,,,,,148812,13,,0,0
809,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",Ts7fLeT2cYY,2020-04-21T13:48:30Z,"2020-04-21 13:48:30","We all play for #TeamLA","Vaccines are here, but our fight isn't over. We’ll get through this and we’ll do so together. Join us and tag your posts #TeamLA.",,28,"Science & Technology",Health,PT16S,16,2d,hd,false,,en-US,https://i.ytimg.com/vi/Ts7fLeT2cYY/maxresdefault.jpg,,,,,691261,8,,0,0
810,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",VfzXOLUhp2g,2020-04-21T13:44:24Z,"2020-04-21 13:44:24","Play for #TeamLA","Vaccines are here, but our fight isn't over. It’s still important to wash your hands, wear your mask and keep your distance. Tag your posts #TeamLA and show us what you’re doing to help our city get through this.",,28,"Science & Technology","Health,Society",PT7S,7,2d,hd,false,,en-US,https://i.ytimg.com/vi/VfzXOLUhp2g/maxresdefault.jpg,,,,,524,5,,0,0
