Hospital,Type of Report,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings,Latitude,Longitude
Scripps Mercy Hospital,IMI,ACL Tear,17.0,610.0,2.2,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Sleep Apnea,0.0,35.0,0.0,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Chronic Migraines,5.0,15.0,22.5,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Shoulder Impingement,19.0,396.0,5.4,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Insomnia,31.0,143.0,23.8,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Bulimia,55.0,554.0,10.0,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Low Back Pain,23.0,426.0,5.9,As Expected,32.75128,-117.16
Palomar Health Downtown Campus,CABG,Early Stage Skin Cancer,6.0,79.0,7.65,Worse,33.13,-117.08
Palomar Health Downtown Campus,IMI,Chronic Knee Pain,4.0,241.0,1.7,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Chronic Migraines,6.0,30.0,16.5,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Mild Asthma,15.0,435.0,2.8,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Scoliosis,,,,,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Hypertension,14.0,368.0,3.8,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Osteoarthritis,31.0,791.0,2.6,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,ACL Tear,7.0,418.0,1.4,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Sleep Apnea,0.0,65.0,0.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Shoulder Impingement,33.0,509.0,3.3,Better,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Insomnia,32.0,130.0,16.5,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Bulimia,71.0,669.0,6.5,Better,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Low Back Pain,33.0,461.0,6.6,As Expected,33.12586,-117.076
Paradise Valley Hospital,IMI,Chronic Migraines,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,Chronic Knee Pain,0.0,14.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Mild Asthma,0.0,81.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Scoliosis,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,Hypertension,0.0,37.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Osteoarthritis,4.0,290.0,1.6,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,ACL Tear,0.0,85.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Sleep Apnea,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,Shoulder Impingement,1.0,68.0,2.6,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Insomnia,1.0,4.0,27.6,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Bulimia,2.0,72.0,6.7,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Low Back Pain,1.0,69.0,0.9,Better,32.68632,-117.083
Scripps Memorial Hospital – La Jolla,CABG,Early Stage Skin Cancer,4.0,327.0,1.59,As Expected,32.89,-117.22
Scripps Memorial Hospital – La Jolla,IMI,Chronic Knee Pain,3.0,214.0,1.0,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Mild Asthma,12.0,251.0,2.2,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Scoliosis,0.0,5.0,0.0,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Hypertension,38.0,833.0,5.4,Worse,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Osteoarthritis,38.0,801.0,3.0,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,ACL Tear,5.0,238.0,1.6,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Sleep Apnea,0.0,23.0,0.0,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Chronic Migraines,23.0,75.0,25.8,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Shoulder Impingement,48.0,382.0,6.2,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Insomnia,26.0,104.0,18.1,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Bulimia,97.0,561.0,9.8,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Low Back Pain,37.0,722.0,6.0,As Expected,32.88506,-117.222
Tri-City Medical Center,IMI,Chronic Migraines,3.0,12.0,21.7,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Chronic Knee Pain,3.0,161.0,2.2,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Mild Asthma,10.0,230.0,3.3,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Scoliosis,,,,,33.18394,-117.29
Tri-City Medical Center,IMI,Hypertension,7.0,172.0,5.4,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Osteoarthritis,17.0,411.0,2.6,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,ACL Tear,9.0,268.0,2.5,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Sleep Apnea,1.0,44.0,2.4,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Shoulder Impingement,11.0,292.0,3.1,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Insomnia,19.0,59.0,31.7,Worse,33.18394,-117.29
Tri-City Medical Center,IMI,Bulimia,33.0,363.0,8.9,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Low Back Pain,23.0,265.0,8.7,Worse,33.18394,-117.29
Tri-City Medical Center,CABG,Early Stage Skin Cancer,0.0,48.0,0.0,As Expected,33.18,-117.29
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Chronic Knee Pain,2.0,162.0,0.8,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Mild Asthma,8.0,303.0,2.4,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Scoliosis,1.0,77.0,0.9,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Hypertension,13.0,371.0,3.6,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Osteoarthritis,23.0,950.0,2.5,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,ACL Tear,10.0,528.0,1.3,Better,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Sleep Apnea,0.0,21.0,0.0,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Chronic Migraines,10.0,52.0,17.7,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Shoulder Impingement,16.0,349.0,2.6,Better,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Insomnia,19.0,115.0,13.8,Better,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Bulimia,45.0,516.0,5.6,Better,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Low Back Pain,34.0,457.0,8.1,Worse,32.75387,-117.164
Sharp Chula Vista Medical Center,CABG,Early Stage Skin Cancer,0.0,68.0,0.0,As Expected,32.62,-117.02
Sharp Chula Vista Medical Center,IMI,Chronic Knee Pain,3.0,108.0,2.2,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Chronic Migraines,4.0,13.0,24.6,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Mild Asthma,4.0,306.0,1.2,Better,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Scoliosis,1.0,5.0,4.2,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Hypertension,14.0,305.0,4.4,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Osteoarthritis,15.0,813.0,1.9,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,ACL Tear,11.0,312.0,3.0,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Sleep Apnea,0.0,16.0,0.0,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Shoulder Impingement,16.0,281.0,5.0,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Insomnia,16.0,73.0,20.5,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Bulimia,36.0,367.0,9.0,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Low Back Pain,14.0,233.0,6.0,As Expected,32.61909,-117.024
Palomar Medical Center Poway,IMI,Chronic Migraines,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,Chronic Knee Pain,1.0,102.0,1.1,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Mild Asthma,4.0,164.0,1.8,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Scoliosis,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,Hypertension,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,Osteoarthritis,8.0,208.0,2.1,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,ACL Tear,8.0,125.0,4.2,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Sleep Apnea,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,Shoulder Impingement,6.0,92.0,5.9,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Insomnia,4.0,7.0,24.7,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Bulimia,10.0,99.0,10.7,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Low Back Pain,5.0,23.0,6.8,As Expected,32.99563,-117.057
Scripps Green Hospital,IMI,Chronic Knee Pain,0.0,93.0,0.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Mild Asthma,1.0,159.0,0.4,Better,32.89654,-117.241
Scripps Green Hospital,IMI,Scoliosis,0.0,13.0,0.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Hypertension,,,,,32.89654,-117.241
Scripps Green Hospital,IMI,Osteoarthritis,2.0,99.0,1.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,ACL Tear,3.0,147.0,1.9,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Sleep Apnea,0.0,20.0,0.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Chronic Migraines,,,,,32.89654,-117.241
Scripps Green Hospital,IMI,Shoulder Impingement,2.0,55.0,3.8,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Insomnia,1.0,16.0,10.2,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Bulimia,3.0,71.0,5.8,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Low Back Pain,0.0,5.0,0.0,As Expected,32.89654,-117.241
Scripps Memorial Hospital – Encinitas,IMI,Chronic Knee Pain,3.0,208.0,0.8,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Chronic Migraines,0.0,9.0,0.0,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Mild Asthma,3.0,266.0,0.7,Better,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Scoliosis,,,,,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Hypertension,6.0,225.0,3.9,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Osteoarthritis,8.0,437.0,1.0,Better,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,ACL Tear,3.0,296.0,1.1,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Sleep Apnea,0.0,20.0,0.0,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Shoulder Impingement,2.0,207.0,1.1,Better,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Insomnia,5.0,44.0,10.4,Better,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Bulimia,7.0,260.0,3.0,Better,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Low Back Pain,10.0,290.0,3.4,As Expected,33.0363,-117.284
UC San Diego Health La Jolla – Jacobs Medical Center & Sulpizio Cardiovascular Center,CABG,Early Stage Skin Cancer,1.0,159.0,0.71,As Expected,32.88,-117.23
Alvarado Hospital Medical Center,IMI,Mild Asthma,1.0,63.0,2.1,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Hypertension,4.0,119.0,2.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Scoliosis,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Chronic Knee Pain,1.0,20.0,1.3,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Osteoarthritis,3.0,165.0,2.5,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,ACL Tear,4.0,105.0,2.8,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Sleep Apnea,0.0,7.0,0.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Low Back Pain,4.0,202.0,1.3,Better,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Chronic Migraines,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Shoulder Impingement,0.0,54.0,0.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Insomnia,2.0,6.0,100.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Bulimia,2.0,61.0,7.1,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,AAA Repair Open Unrupture,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,AAA Repair Endo Unrupture,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,PSI,Postoperative Sepsis,1.0,512.0,0.16,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,CABG,Early Stage Skin Cancer,0.0,17.0,0.0,As Expected,32.78,-117.06
Sharp Coronado Hospital and Healthcare Center,IMI,Mild Asthma,1.0,32.0,5.1,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Hypertension,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Scoliosis,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Chronic Knee Pain,2.0,26.0,8.7,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Osteoarthritis,2.0,42.0,8.9,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,ACL Tear,3.0,44.0,3.0,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Sleep Apnea,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Low Back Pain,0.0,7.0,0.0,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Chronic Migraines,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Shoulder Impingement,1.0,19.0,4.9,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Insomnia,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Bulimia,1.0,20.0,7.8,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,AAA Repair Open Unrupture,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,AAA Repair Endo Unrupture,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,PSI,Postoperative Sepsis,0.0,762.0,0.0,As Expected,32.69427,-117.168
Sharp Memorial Hospital,IMI,Mild Asthma,8.0,418.0,2.1,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Hypertension,15.0,346.0,5.5,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Scoliosis,0.0,20.0,0.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Chronic Knee Pain,7.0,311.0,1.8,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Osteoarthritis,21.0,896.0,3.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,ACL Tear,12.0,460.0,2.6,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Sleep Apnea,0.0,24.0,0.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Low Back Pain,24.0,356.0,7.9,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Chronic Migraines,3.0,19.0,19.3,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Shoulder Impingement,25.0,413.0,6.9,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Insomnia,15.0,78.0,19.9,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Bulimia,43.0,510.0,10.3,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,AAA Repair Open Unrupture,,,,,32.80016,-117.155
Sharp Memorial Hospital,IMI,AAA Repair Endo Unrupture,0.0,25.0,0.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,PSI,Postoperative Sepsis,15.0,3409.0,0.34,As Expected,32.80016,-117.155
Sharp Memorial Hospital,CABG,Early Stage Skin Cancer,1.0,83.0,1.416458,As Expected,32.8,-117.16
Grossmont Hospital,IMI,Mild Asthma,17.0,506.0,4.2,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Hypertension,19.0,459.0,3.7,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Scoliosis,1.0,9.0,5.2,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Chronic Knee Pain,2.0,191.0,1.1,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Osteoarthritis,21.0,1123.0,2.7,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,ACL Tear,14.0,449.0,2.5,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Sleep Apnea,0.0,45.0,0.0,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Low Back Pain,34.0,363.0,8.9,Worse,32.77963,-117.009
Grossmont Hospital,IMI,Chronic Migraines,13.0,49.0,28.6,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Shoulder Impingement,41.0,568.0,6.6,Worse,32.77963,-117.009
Grossmont Hospital,IMI,Insomnia,34.0,117.0,23.4,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Bulimia,88.0,734.0,11.0,Worse,32.77963,-117.009
Grossmont Hospital,IMI,AAA Repair Open Unrupture,,,,,32.77963,-117.009
Grossmont Hospital,IMI,AAA Repair Endo Unrupture,0.0,15.0,0.0,As Expected,32.77963,-117.009
Grossmont Hospital,PSI,Postoperative Sepsis,6.0,1692.0,0.48,As Expected,32.77963,-117.009
Grossmont Hospital,CABG,Early Stage Skin Cancer,6.0,76.0,6.330886,Worse,32.78,-117.01
Kaiser Foundation Hospital – San Diego – Zion,IMI,Mild Asthma,8.0,227.0,3.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Hypertension,,,,,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Scoliosis,0.0,22.0,0.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Chronic Knee Pain,9.0,462.0,2.3,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Osteoarthritis,36.0,1024.0,3.8,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,ACL Tear,11.0,355.0,3.2,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Sleep Apnea,0.0,30.0,0.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Low Back Pain,12.0,142.0,4.8,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Chronic Migraines,5.0,22.0,35.3,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Shoulder Impingement,23.0,340.0,5.6,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Insomnia,12.0,126.0,14.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Bulimia,40.0,488.0,8.6,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,AAA Repair Open Unrupture,0.0,4.0,0.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,AAA Repair Endo Unrupture,0.0,36.0,0.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,PSI,Postoperative Sepsis,23.0,2502.0,0.67,As Expected,32.79287,-117.094
Scripps Mercy Hospital,IMI,Mild Asthma,7.0,533.0,1.2,Better,32.75128,-117.16
Scripps Mercy Hospital,IMI,Hypertension,9.0,293.0,4.1,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Scoliosis,0.0,5.0,0.0,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Chronic Knee Pain,6.0,300.0,2.1,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Osteoarthritis,23.0,1227.0,1.9,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,ACL Tear,16.0,574.0,3.2,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Sleep Apnea,1.0,30.0,1.4,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Low Back Pain,24.0,479.0,5.9,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Chronic Migraines,9.0,19.0,30.3,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Shoulder Impingement,22.0,474.0,5.7,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Insomnia,29.0,134.0,19.5,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Bulimia,60.0,627.0,9.4,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,AAA Repair Open Unrupture,,,,,32.75128,-117.16
Scripps Mercy Hospital,IMI,AAA Repair Endo Unrupture,0.0,14.0,0.0,As Expected,32.75128,-117.16
Scripps Mercy Hospital,PSI,Postoperative Sepsis,13.0,3077.0,0.65,As Expected,32.75128,-117.16
Scripps Mercy Hospital,CABG,Early Stage Skin Cancer,2.0,85.0,3.375196,As Expected,32.75,-117.16
Palomar Health Downtown Campus,IMI,Mild Asthma,8.0,439.0,2.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Hypertension,20.0,371.0,5.3,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Scoliosis,0.0,3.0,0.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Chronic Knee Pain,6.0,275.0,1.7,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Osteoarthritis,23.0,803.0,2.5,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,ACL Tear,11.0,433.0,2.9,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Sleep Apnea,0.0,57.0,0.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Low Back Pain,28.0,480.0,7.1,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Chronic Migraines,7.0,21.0,26.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Shoulder Impingement,43.0,484.0,5.2,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Insomnia,29.0,113.0,21.6,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Bulimia,79.0,618.0,9.4,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,AAA Repair Open Unrupture,,,,,33.12586,-117.076
Palomar Health Downtown Campus,IMI,AAA Repair Endo Unrupture,0.0,21.0,0.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,PSI,Postoperative Sepsis,3.0,2305.0,0.2,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,CABG,Early Stage Skin Cancer,6.0,85.0,4.876596,As Expected,33.13,-117.08
Paradise Valley Hospital,IMI,Mild Asthma,2.0,77.0,4.5,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Hypertension,1.0,45.0,4.6,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Scoliosis,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,Chronic Knee Pain,1.0,18.0,3.6,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Osteoarthritis,4.0,275.0,2.7,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,ACL Tear,0.0,89.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Sleep Apnea,0.0,3.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Low Back Pain,4.0,80.0,5.8,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Chronic Migraines,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,Shoulder Impingement,0.0,73.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Insomnia,3.0,16.0,30.9,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Bulimia,4.0,90.0,8.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,AAA Repair Open Unrupture,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,AAA Repair Endo Unrupture,,,,,32.68632,-117.083
Paradise Valley Hospital,PSI,Postoperative Sepsis,0.0,168.0,0.0,As Expected,32.68632,-117.083
Scripps Memorial Hospital – La Jolla,IMI,Mild Asthma,3.0,255.0,0.8,Better,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Hypertension,31.0,923.0,4.1,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Scoliosis,,,,,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Chronic Knee Pain,3.0,212.0,1.5,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Osteoarthritis,30.0,796.0,2.7,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,ACL Tear,8.0,325.0,2.5,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Sleep Apnea,0.0,19.0,0.0,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Low Back Pain,46.0,834.0,6.8,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Chronic Migraines,10.0,67.0,17.8,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Shoulder Impingement,26.0,338.0,6.2,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Insomnia,22.0,93.0,23.4,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Bulimia,58.0,498.0,9.6,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,AAA Repair Open Unrupture,0.0,5.0,0.0,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,AAA Repair Endo Unrupture,0.0,4.0,0.0,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,PSI,Postoperative Sepsis,15.0,3358.0,0.44,As Expected,32.88506,-117.222
