Hospital,Type of Report,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings,Latitude,Longitude
Kaiser Foundation Hospital – San Diego – Zion,IMI,AMI,11.0,132.0,4.3,As Expected,32.79287,-117.094
Scripps Mercy Hospital,CABG,Isolated CABG Operative Mor,6.0,84.0,10.32,Worse,32.75,-117.16
Scripps Mercy Hospital,IMI,Hip Fracture,6.0,296.0,1.6,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Pneumonia,7.0,490.0,1.3,Better,32.75128,-117.16
Scripps Mercy Hospital,IMI,Pancreatic Resection,1.0,8.0,3.2,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,PCI,10.0,285.0,4.1,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Heart Failure,22.0,1163.0,1.6,Better,32.75128,-117.16
Scripps Mercy Hospital,IMI,GI Hemorrhage,17.0,610.0,2.2,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Carotid Endarterectomy,0.0,35.0,0.0,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Acute Stroke Subarachnoid,5.0,15.0,22.5,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Acute Stroke Ischemic,19.0,396.0,5.4,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Acute Stroke Hemorrhagic,31.0,143.0,23.8,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Acute Stroke,55.0,554.0,10.0,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,AMI,23.0,426.0,5.9,As Expected,32.75128,-117.16
Palomar Health Downtown Campus,CABG,Isolated CABG Operative Mor,6.0,79.0,7.65,Worse,33.13,-117.08
Palomar Health Downtown Campus,IMI,Hip Fracture,4.0,241.0,1.7,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Acute Stroke Subarachnoid,6.0,30.0,16.5,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Pneumonia,15.0,435.0,2.8,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Pancreatic Resection,,,,,33.12586,-117.076
Palomar Health Downtown Campus,IMI,PCI,14.0,368.0,3.8,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Heart Failure,31.0,791.0,2.6,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,GI Hemorrhage,7.0,418.0,1.4,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Carotid Endarterectomy,0.0,65.0,0.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Acute Stroke Ischemic,33.0,509.0,3.3,Better,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Acute Stroke Hemorrhagic,32.0,130.0,16.5,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Acute Stroke,71.0,669.0,6.5,Better,33.12586,-117.076
Palomar Health Downtown Campus,IMI,AMI,33.0,461.0,6.6,As Expected,33.12586,-117.076
Paradise Valley Hospital,IMI,Acute Stroke Subarachnoid,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,Hip Fracture,0.0,14.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Pneumonia,0.0,81.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Pancreatic Resection,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,PCI,0.0,37.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Heart Failure,4.0,290.0,1.6,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,GI Hemorrhage,0.0,85.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Carotid Endarterectomy,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,Acute Stroke Ischemic,1.0,68.0,2.6,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Acute Stroke Hemorrhagic,1.0,4.0,27.6,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Acute Stroke,2.0,72.0,6.7,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,AMI,1.0,69.0,0.9,Better,32.68632,-117.083
Scripps Memorial Hospital – La Jolla,CABG,Isolated CABG Operative Mor,4.0,327.0,1.59,As Expected,32.89,-117.22
Scripps Memorial Hospital – La Jolla,IMI,Hip Fracture,3.0,214.0,1.0,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Pneumonia,12.0,251.0,2.2,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Pancreatic Resection,0.0,5.0,0.0,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,PCI,38.0,833.0,5.4,Worse,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Heart Failure,38.0,801.0,3.0,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,GI Hemorrhage,5.0,238.0,1.6,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Carotid Endarterectomy,0.0,23.0,0.0,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Acute Stroke Subarachnoid,23.0,75.0,25.8,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Acute Stroke Ischemic,48.0,382.0,6.2,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Acute Stroke Hemorrhagic,26.0,104.0,18.1,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Acute Stroke,97.0,561.0,9.8,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,AMI,37.0,722.0,6.0,As Expected,32.88506,-117.222
Tri-City Medical Center,IMI,Acute Stroke Subarachnoid,3.0,12.0,21.7,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Hip Fracture,3.0,161.0,2.2,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Pneumonia,10.0,230.0,3.3,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Pancreatic Resection,,,,,33.18394,-117.29
Tri-City Medical Center,IMI,PCI,7.0,172.0,5.4,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Heart Failure,17.0,411.0,2.6,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,GI Hemorrhage,9.0,268.0,2.5,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Carotid Endarterectomy,1.0,44.0,2.4,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Acute Stroke Ischemic,11.0,292.0,3.1,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Acute Stroke Hemorrhagic,19.0,59.0,31.7,Worse,33.18394,-117.29
Tri-City Medical Center,IMI,Acute Stroke,33.0,363.0,8.9,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,AMI,23.0,265.0,8.7,Worse,33.18394,-117.29
Tri-City Medical Center,CABG,Isolated CABG Operative Mor,0.0,48.0,0.0,As Expected,33.18,-117.29
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Hip Fracture,2.0,162.0,0.8,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Pneumonia,8.0,303.0,2.4,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Pancreatic Resection,1.0,77.0,0.9,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,PCI,13.0,371.0,3.6,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Heart Failure,23.0,950.0,2.5,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,GI Hemorrhage,10.0,528.0,1.3,Better,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Carotid Endarterectomy,0.0,21.0,0.0,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Acute Stroke Subarachnoid,10.0,52.0,17.7,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Acute Stroke Ischemic,16.0,349.0,2.6,Better,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Acute Stroke Hemorrhagic,19.0,115.0,13.8,Better,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Acute Stroke,45.0,516.0,5.6,Better,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,AMI,34.0,457.0,8.1,Worse,32.75387,-117.164
Sharp Chula Vista Medical Center,CABG,Isolated CABG Operative Mor,0.0,68.0,0.0,As Expected,32.62,-117.02
Sharp Chula Vista Medical Center,IMI,Hip Fracture,3.0,108.0,2.2,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Acute Stroke Subarachnoid,4.0,13.0,24.6,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Pneumonia,4.0,306.0,1.2,Better,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Pancreatic Resection,1.0,5.0,4.2,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,PCI,14.0,305.0,4.4,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Heart Failure,15.0,813.0,1.9,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,GI Hemorrhage,11.0,312.0,3.0,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Carotid Endarterectomy,0.0,16.0,0.0,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Acute Stroke Ischemic,16.0,281.0,5.0,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Acute Stroke Hemorrhagic,16.0,73.0,20.5,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Acute Stroke,36.0,367.0,9.0,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,AMI,14.0,233.0,6.0,As Expected,32.61909,-117.024
Palomar Medical Center Poway,IMI,Acute Stroke Subarachnoid,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,Hip Fracture,1.0,102.0,1.1,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Pneumonia,4.0,164.0,1.8,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Pancreatic Resection,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,PCI,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,Heart Failure,8.0,208.0,2.1,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,GI Hemorrhage,8.0,125.0,4.2,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Carotid Endarterectomy,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,Acute Stroke Ischemic,6.0,92.0,5.9,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Acute Stroke Hemorrhagic,4.0,7.0,24.7,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Acute Stroke,10.0,99.0,10.7,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,AMI,5.0,23.0,6.8,As Expected,32.99563,-117.057
Scripps Green Hospital,IMI,Hip Fracture,0.0,93.0,0.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Pneumonia,1.0,159.0,0.4,Better,32.89654,-117.241
Scripps Green Hospital,IMI,Pancreatic Resection,0.0,13.0,0.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,PCI,,,,,32.89654,-117.241
Scripps Green Hospital,IMI,Heart Failure,2.0,99.0,1.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,GI Hemorrhage,3.0,147.0,1.9,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Carotid Endarterectomy,0.0,20.0,0.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Acute Stroke Subarachnoid,,,,,32.89654,-117.241
Scripps Green Hospital,IMI,Acute Stroke Ischemic,2.0,55.0,3.8,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Acute Stroke Hemorrhagic,1.0,16.0,10.2,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Acute Stroke,3.0,71.0,5.8,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,AMI,0.0,5.0,0.0,As Expected,32.89654,-117.241
Scripps Memorial Hospital – Encinitas,IMI,Hip Fracture,3.0,208.0,0.8,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Acute Stroke Subarachnoid,0.0,9.0,0.0,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Pneumonia,3.0,266.0,0.7,Better,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Pancreatic Resection,,,,,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,PCI,6.0,225.0,3.9,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Heart Failure,8.0,437.0,1.0,Better,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,GI Hemorrhage,3.0,296.0,1.1,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Carotid Endarterectomy,0.0,20.0,0.0,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Acute Stroke Ischemic,2.0,207.0,1.1,Better,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Acute Stroke Hemorrhagic,5.0,44.0,10.4,Better,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Acute Stroke,7.0,260.0,3.0,Better,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,AMI,10.0,290.0,3.4,As Expected,33.0363,-117.284
UC San Diego Health La Jolla – Jacobs Medical Center & Sulpizio Cardiovascular Center,CABG,Isolated CABG Operative Mor,1.0,159.0,0.71,As Expected,32.88,-117.23
Alvarado Hospital Medical Center,IMI,Pneumonia,1.0,63.0,2.1,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,PCI,4.0,119.0,2.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Pancreatic Resection,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Hip Fracture,1.0,20.0,1.3,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Heart Failure,3.0,165.0,2.5,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,GI Hemorrhage,4.0,105.0,2.8,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Carotid Endarterectomy,0.0,7.0,0.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,AMI,4.0,202.0,1.3,Better,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Acute Stroke Subarachnoid,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Acute Stroke Ischemic,0.0,54.0,0.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Acute Stroke Hemorrhagic,2.0,6.0,100.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Acute Stroke,2.0,61.0,7.1,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,AAA Repair Open Unrupture,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,AAA Repair Endo Unrupture,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,PSI,Postoperative Sepsis,1.0,512.0,0.16,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,CABG,Isolated CABG Operative Mor,0.0,17.0,0.0,As Expected,32.78,-117.06
Sharp Coronado Hospital and Healthcare Center,IMI,Pneumonia,1.0,32.0,5.1,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,PCI,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Pancreatic Resection,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Hip Fracture,2.0,26.0,8.7,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Heart Failure,2.0,42.0,8.9,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,GI Hemorrhage,3.0,44.0,3.0,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Carotid Endarterectomy,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,AMI,0.0,7.0,0.0,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Acute Stroke Subarachnoid,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Acute Stroke Ischemic,1.0,19.0,4.9,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Acute Stroke Hemorrhagic,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Acute Stroke,1.0,20.0,7.8,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,AAA Repair Open Unrupture,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,AAA Repair Endo Unrupture,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,PSI,Postoperative Sepsis,0.0,762.0,0.0,As Expected,32.69427,-117.168
Sharp Memorial Hospital,IMI,Pneumonia,8.0,418.0,2.1,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,PCI,15.0,346.0,5.5,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Pancreatic Resection,0.0,20.0,0.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Hip Fracture,7.0,311.0,1.8,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Heart Failure,21.0,896.0,3.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,GI Hemorrhage,12.0,460.0,2.6,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Carotid Endarterectomy,0.0,24.0,0.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,AMI,24.0,356.0,7.9,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Acute Stroke Subarachnoid,3.0,19.0,19.3,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Acute Stroke Ischemic,25.0,413.0,6.9,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Acute Stroke Hemorrhagic,15.0,78.0,19.9,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Acute Stroke,43.0,510.0,10.3,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,AAA Repair Open Unrupture,,,,,32.80016,-117.155
Sharp Memorial Hospital,IMI,AAA Repair Endo Unrupture,0.0,25.0,0.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,PSI,Postoperative Sepsis,15.0,3409.0,0.34,As Expected,32.80016,-117.155
Sharp Memorial Hospital,CABG,Isolated CABG Operative Mor,1.0,83.0,1.416458,As Expected,32.8,-117.16
Grossmont Hospital,IMI,Pneumonia,17.0,506.0,4.2,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,PCI,19.0,459.0,3.7,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Pancreatic Resection,1.0,9.0,5.2,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Hip Fracture,2.0,191.0,1.1,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Heart Failure,21.0,1123.0,2.7,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,GI Hemorrhage,14.0,449.0,2.5,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Carotid Endarterectomy,0.0,45.0,0.0,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,AMI,34.0,363.0,8.9,Worse,32.77963,-117.009
Grossmont Hospital,IMI,Acute Stroke Subarachnoid,13.0,49.0,28.6,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Acute Stroke Ischemic,41.0,568.0,6.6,Worse,32.77963,-117.009
Grossmont Hospital,IMI,Acute Stroke Hemorrhagic,34.0,117.0,23.4,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Acute Stroke,88.0,734.0,11.0,Worse,32.77963,-117.009
Grossmont Hospital,IMI,AAA Repair Open Unrupture,,,,,32.77963,-117.009
Grossmont Hospital,IMI,AAA Repair Endo Unrupture,0.0,15.0,0.0,As Expected,32.77963,-117.009
Grossmont Hospital,PSI,Postoperative Sepsis,6.0,1692.0,0.48,As Expected,32.77963,-117.009
Grossmont Hospital,CABG,Isolated CABG Operative Mor,6.0,76.0,6.330886,Worse,32.78,-117.01
Kaiser Foundation Hospital – San Diego – Zion,IMI,Pneumonia,8.0,227.0,3.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,PCI,,,,,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Pancreatic Resection,0.0,22.0,0.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Hip Fracture,9.0,462.0,2.3,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Heart Failure,36.0,1024.0,3.8,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,GI Hemorrhage,11.0,355.0,3.2,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Carotid Endarterectomy,0.0,30.0,0.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,AMI,12.0,142.0,4.8,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Acute Stroke Subarachnoid,5.0,22.0,35.3,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Acute Stroke Ischemic,23.0,340.0,5.6,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Acute Stroke Hemorrhagic,12.0,126.0,14.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Acute Stroke,40.0,488.0,8.6,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,AAA Repair Open Unrupture,0.0,4.0,0.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,AAA Repair Endo Unrupture,0.0,36.0,0.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,PSI,Postoperative Sepsis,23.0,2502.0,0.67,As Expected,32.79287,-117.094
Scripps Mercy Hospital,IMI,Pneumonia,7.0,533.0,1.2,Better,32.75128,-117.16
Scripps Mercy Hospital,IMI,PCI,9.0,293.0,4.1,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Pancreatic Resection,0.0,5.0,0.0,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Hip Fracture,6.0,300.0,2.1,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Heart Failure,23.0,1227.0,1.9,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,GI Hemorrhage,16.0,574.0,3.2,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Carotid Endarterectomy,1.0,30.0,1.4,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,AMI,24.0,479.0,5.9,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Acute Stroke Subarachnoid,9.0,19.0,30.3,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Acute Stroke Ischemic,22.0,474.0,5.7,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Acute Stroke Hemorrhagic,29.0,134.0,19.5,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Acute Stroke,60.0,627.0,9.4,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,AAA Repair Open Unrupture,,,,,32.75128,-117.16
Scripps Mercy Hospital,IMI,AAA Repair Endo Unrupture,0.0,14.0,0.0,As Expected,32.75128,-117.16
Scripps Mercy Hospital,PSI,Postoperative Sepsis,13.0,3077.0,0.65,As Expected,32.75128,-117.16
Scripps Mercy Hospital,CABG,Isolated CABG Operative Mor,2.0,85.0,3.375196,As Expected,32.75,-117.16
Palomar Health Downtown Campus,IMI,Pneumonia,8.0,439.0,2.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,PCI,20.0,371.0,5.3,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Pancreatic Resection,0.0,3.0,0.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Hip Fracture,6.0,275.0,1.7,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Heart Failure,23.0,803.0,2.5,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,GI Hemorrhage,11.0,433.0,2.9,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Carotid Endarterectomy,0.0,57.0,0.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,AMI,28.0,480.0,7.1,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Acute Stroke Subarachnoid,7.0,21.0,26.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Acute Stroke Ischemic,43.0,484.0,5.2,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Acute Stroke Hemorrhagic,29.0,113.0,21.6,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Acute Stroke,79.0,618.0,9.4,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,AAA Repair Open Unrupture,,,,,33.12586,-117.076
Palomar Health Downtown Campus,IMI,AAA Repair Endo Unrupture,0.0,21.0,0.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,PSI,Postoperative Sepsis,3.0,2305.0,0.2,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,CABG,Isolated CABG Operative Mor,6.0,85.0,4.876596,As Expected,33.13,-117.08
Paradise Valley Hospital,IMI,Pneumonia,2.0,77.0,4.5,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,PCI,1.0,45.0,4.6,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Pancreatic Resection,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,Hip Fracture,1.0,18.0,3.6,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Heart Failure,4.0,275.0,2.7,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,GI Hemorrhage,0.0,89.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Carotid Endarterectomy,0.0,3.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,AMI,4.0,80.0,5.8,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Acute Stroke Subarachnoid,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,Acute Stroke Ischemic,0.0,73.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Acute Stroke Hemorrhagic,3.0,16.0,30.9,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Acute Stroke,4.0,90.0,8.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,AAA Repair Open Unrupture,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,AAA Repair Endo Unrupture,,,,,32.68632,-117.083
Paradise Valley Hospital,PSI,Postoperative Sepsis,0.0,168.0,0.0,As Expected,32.68632,-117.083
Scripps Memorial Hospital – La Jolla,IMI,Pneumonia,3.0,255.0,0.8,Better,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,PCI,31.0,923.0,4.1,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Pancreatic Resection,,,,,32.88506,-117.222
